,comments,notes,hotel_name
36,"· No TV , no WiFi and no clean bathroom and no hot water in the shower and the kitchen equipments are so bad and old.
I just don't recommend it at all because There is better options with the same price and better quality.",1.0,najah
37, Un departamento espacioso y bien ubicado.Rápida comunicación con la encargada.,7.0,najah
38," Ottimo rapporto qualità-prezzo, casa pulita e la persona che ci ha accolto molto gentile. Nonostante la distanza dal centro, nelle vicinanze molti negozi e ristoranti (fast food).",8.3,najah
39, La atención de la encargada muy amable simpatica y colaboradora en lo que se le requería.,7.5,najah
40, Parfait pour vacances en famille. Des gens super sympa et un endroit magnifique,10.0,Kasbah Timdaf
41," l’accueil, l’emplacement, la chaleur humaine 
tout était parfait.",10.0,Kasbah Timdaf
42," Le lieu est splendide, au calme dans la montagne. 
La chambre est très grande et très confortable.
Je recommande vivement le dîner sur place local préparé par les hôtes + petit déj parfait.
Il s'agit d'une ancienne ferme écologique, la demeure est très belle. Pierres apparentes, jardin, nous ne pouvons pas rêver mieux pour une expérience au calme après une longue route.
Feu de cheminée, thé à la menthe 
Proche de Demnate. 
Proche des cascades d'Ouzoud (environ 1H)
Nous étions les seules dans l'établissement à la période de Novembre, les hôtes sont très serviables et très accueillant.
Je recommande vivement cet hôtel",10.0,Kasbah Timdaf
43," Parfaitement situé dans une région attachante. Construction au grand charme sur un point haut dans un très beau paysage. Accueil chaleureux et ouvert. Chambres très spacieuses, simples, avec une bonne salle d'eau et de l'eau chaude à volonté. Cuisine agréable et qui cherche à faire plaisir. De bons conseils pour les excursions.",10.0,Kasbah Timdaf
44," Le calme, la grandeur de la chambre, la propreté des lieux, la salle de bain, le dîner, l'espace hammam, l'emplacement au milieu de la nature",10.0,Kasbah Timdaf
45, L’accueil toujours très bien au Maroc.,7.0,Kasbah Timdaf
46," Beauté du lieu (chambre et riad) 
Chauffage au poele dans la chambre. 
Confort",7.0,Kasbah Timdaf
47," Very nice and quiet place in middle of nature, good food and warm and very friendly welcome.",10.0,Kasbah Timdaf
48," We had Great Christmas family days in Timdaf, we enjoyed the surrounding nature, wonderful family activities, and great food. Aziz the owner is a passionate nature & history teacher, we learned a lot about this region. Hajja his mother is just a pearl, very kind & loving person. We enjoyed the long evening with life instrumental music.
We will surely come again in spring🥰",8.0,Kasbah Timdaf
49," The friendliness of the owners Aziz and Andrea. Their excellent communication and desire to provide all that we might need regardless of how much trouble it might have caused them . 
 This is a place of solitude suitable for walking and resting. The panoramic views are awesome and the gardens so well attended and develoing.",9.0,Kasbah Timdaf
50," Un très bon acceuil , très propre, personnel à l’écoute on est à 10 monde Jamaah el fena a 3min du restaurant l’élite je le recommande au top",10.0,Villa Ziad Guéliz
51," la proximité de tout, les grandes chambres, les grand salon et cuisine, la piscine",9.0,Villa Ziad Guéliz
52, L'emplacement était très pratique tout près de restaurant zone très commerciale on a pas utiliser notre voiture on a beaucoup marché en faisant des balades surtout dans vous jardins magnifiques bien entretenus. A,8.0,Villa Ziad Guéliz
53," Super emplacement au cœur de Gueliz, personnel accueillant, piscine rafraîchissante",9.0,Villa Ziad Guéliz
54, L'emplacement est très bien situé et la piscine fait du bien dans les moments de grosse chaleur,9.0,Villa Ziad Guéliz
55, Très bon emplacement personnel au top,9.0,Villa Ziad Guéliz
56," La propreté, l'emplacement, la piscine, et la gentillesse du personnel.",9.0,Villa Ziad Guéliz
57, La piscine,9.0,Villa Ziad Guéliz
58, La localisation est juste exceptionnelle! Tellement bien situé. Et les membres du personnels sont très sympas très accueillant et sont à votre disposition.,9.2,Villa Ziad Guéliz
59," Tres bon accueil, les gérants disponibles et agréables, l'appartement bien adaptés pour accueillir une grande famille (nous étions 7).bel emplacement, bien situé.",8.0,Villa Ziad Guéliz
60," Personnelle accueillant et au petit soin.
Accès à la terrasse sur le toit.
Machine à laver à disposition 
Tout est confort pour passer un bon séjour.",10.0,My Home Mirelft
61, Drisse était à l’écoute et régler toutes les réclamations,8.0,My Home Mirelft
62, Endroit près de la plage agréable séjour.,8.0,My Home Mirelft
63, L'emplacement; propreté; personnel serviable,9.0,My Home Mirelft
64, L'emplacement,7.1,My Home Mirelft
65, Le sens d'écoute et la propreté du logement rien a dire@,9.0,My Home Mirelft
66," A voir les plages aux alentours comme Aftaiss, Tamahracht , Sidi boulafdail",7.5,My Home Mirelft
67," L'accueil et la propreté de l'établissement furent le plus de cet appartement.Le rapport qualité prix est imbattable, je recommande.",9.2,My Home Mirelft
68," La proximité de la plage, les gens de mirleft sont très agréables, le marché aux poissons et le calme",7.9,My Home Mirelft
69," Tout soit l endroit, propreté, accueil je vous propose de passer bon séjour à My Home Mirelft
Merci beaucoup 👍😊",10.0,My Home Mirelft
70," Le professionnalisme de Mr Lotfi très gentil
Et très sérviable superbe je vous le recommande cet établissement est simplement géniale. 
Le personnels à l écoute le petit déjeuner extra
Établissement très bien entretenu le Smir Park
magnifique dans toute sa splendeur tout 
l' établissement est très bien sécurisé
Escale Hotel appartement retenez bien sont nom à très bientôt famille 👨‍👨‍👦 1102",10.0,L'escale Appart-hôtel By 7AV HOTELS
71," L'emplacement
La vue
Studio spacieux",6.0,L'escale Appart-hôtel By 7AV HOTELS
72," Restauration
Personnel",6.0,L'escale Appart-hôtel By 7AV HOTELS
73, Plus d'entretien des meubles de la chambre serait sans doute un point de plus. emplacement correct. Pseudo appartement à prix correct.,7.0,L'escale Appart-hôtel By 7AV HOTELS
74, 👍,8.0,L'escale Appart-hôtel By 7AV HOTELS
75," Le personnel était aux petits soins surtout le responsable de l'établissement que nous remercions.
Il a demandé à ouvrir la piscine pour les petits, mon fils s'est éclaté",6.0,L'escale Appart-hôtel By 7AV HOTELS
76,· Emplacement,6.0,L'escale Appart-hôtel By 7AV HOTELS
77, Beaucoup de gens qui font du bruit....,6.0,L'escale Appart-hôtel By 7AV HOTELS
78," La proximité du parc et de la fête foraine 
L’appartement était propre et le personnel très aimable .",8.0,L'escale Appart-hôtel By 7AV HOTELS
79," Le relationnel des employés :
<les réceptionnistes “oumAima & la fameuse Rabab ! Le chef cuisinier et le beau sourire des femmes d entretiens",8.0,L'escale Appart-hôtel By 7AV HOTELS
80," Accueil chaleureux par Mr Yahia, personnels aimables et sympathiques. Je recommande vivement !!",9.0,Hotel Assif
81, Le personnel est très sympa et professionnel.,9.0,Hotel Assif
82, petit dej tres bon,8.0,Hotel Assif
83," .L emplacement au centre..... La gentillesse et la réactivité suite à ma demande pour réglage du téléviseur... Les renseignements de Mr Yahia et
Son collègue. Les femmes de chambres très polies. 
Grande chambre !!!!!",8.0,Hotel Assif
84," Staff accueillant 
Position stratégique proche de tout",7.0,Hotel Assif
85," Très bien avec un personnel très sympathique et dévoué ! 
J'ai particulièrement apprécié la gentillesse des serveuses et leur sourire !",8.0,Hotel Assif
86," Accueil sympathique et professionnel. Chambre spacieuse, confortable, bien équipée, climatisation neuve",9.0,Hotel Assif
87, Le personnel est sympa et l'accueil était agréable.,9.0,Hotel Assif
88," Hôtel très correct.
Un bon petit déjeuner.",7.0,Hotel Assif
89, Centre ville et calme à la fois,7.0,Hotel Assif
90," Le personnel à l'écoute, lé décor d'un vrai riad authentique
Une terasse magnifique
La nourriture délicieuse",10.0,Hotel & Spa Dar Bensouda
91," L'accueil de tout le personnel.
Le charme de l'établissement
La situation",9.0,Hotel & Spa Dar Bensouda
92, C'est une escapade parfaite! L'atmosphère est unique et les employés sont très gracieux!,10.0,Hotel & Spa Dar Bensouda
93," Magnifique établissement.
L'emplacement est idéal pour partir visiter la belle médina de Fes.
Le personnel est aux petits soins et à l'écoute.
Je recommande grandement.",10.0,Hotel & Spa Dar Bensouda
94," cadre exceptionnel, personnel attentif et très serviable. Au cœur de la médina. cela peut être un problème pour des personnes à mobilité réduite.",10.0,Hotel & Spa Dar Bensouda
95," Hôtel magnifiquement restauré, très bien situé et très calme. Le personnel est aux petits soins. Splendide vue du toit terrasse sur la médina.",9.0,Hotel & Spa Dar Bensouda
96," Le cadre est juste sublime
Le service est a la hauteur de la qualité des prestations, a savoir haut de gamme. Félicitations à l équipe et au manager Yassine nouvellement arrivé qui sait prendre le temps de nous accompagner. J' y reviens régulièrement",10.0,Hotel & Spa Dar Bensouda
97," le raffinements du lieu
la vue du rooftop 
la chambre spacieuse avec le feu de cheminée 
le personnel aux petits soins",10.0,Hotel & Spa Dar Bensouda
98," Tout était parfait!
Superbe accueil",10.0,Hotel & Spa Dar Bensouda
99," tout simplement LE MEILLEUR riad de tout Fès.
équipe adorable, très serviable et gentils, toujours dans la bonne humeur.
chambre et hôtel très propre: et jolis.! les détails de décoration sont superbes.
La terrasse est très sympa, vue panoramique et chaises longues pour admirer le paysage.
nous reviendrons sans hésitation.",10.0,Hotel & Spa Dar Bensouda
100," Proximité avec la plage, confort, propreté, lieux silencieux et sécurité optimale pour les familles.",10.0,Apartments in MARTIL 150meters walk to the BEACH!
101, Emplacement,8.0,Apartments in MARTIL 150meters walk to the BEACH!
102,· Manque certains équipements dans la cuisine tel que une cafétiere,8.0,Apartments in MARTIL 150meters walk to the BEACH!
103, Tout,8.0,Apartments in MARTIL 150meters walk to the BEACH!
104," Appartement très propre, accueil chaleureux et emplacement plus que parfait. A refaire incha allah",10.0,Apartments in MARTIL 150meters walk to the BEACH!
105," Très proche de la plage de martil
Appartement propre avec des nouveaux équipements 
Accueil chaleureux 10/10",10.0,Apartments in MARTIL 150meters walk to the BEACH!
106,· Everything was more than expected.,10.0,Apartments in MARTIL 150meters walk to the BEACH!
107," Huge parking lot, very close to the beach and restaurants, owner ready to help and answers any question 24/7.
Big apartment with all included.
I had a problem with my son's health and the owner stayed with me all the time until he felt better.
I appreciate that so much.
I definitely recommend that apartment.",10.0,Apartments in MARTIL 150meters walk to the BEACH!
108, Locatie en medewerkers,10.0,Apartments in MARTIL 150meters walk to the BEACH!
109, الموقع قريب جداً من الشاطيء، الشقه نظيفه و الموظفون لطيفون، خاصه الشحص المسؤول عن تسليم المفاتيح.,10.0,Apartments in MARTIL 150meters walk to the BEACH!
110, Yousra été au top merci et l appartement été très propre et bien placé et équipé,10.0,"A 200m de la Plage, du Haut Standing au coeur du Parc"
111," Très bon établissement 
Bon rapport qualité prix 
Propriétaire sympathique",10.0,"A 200m de la Plage, du Haut Standing au coeur du Parc"
112," Tout, emplacement, proximité, propreté, équipement, aménagement, commodités, parking sous sol. Oh top !! Endroit très calme et magnifique.
Je recommande vivement",10.0,"A 200m de la Plage, du Haut Standing au coeur du Parc"
113, Tout,10.0,"A 200m de la Plage, du Haut Standing au coeur du Parc"
114," Rien à dire, c était parfait",9.0,"A 200m de la Plage, du Haut Standing au coeur du Parc"
115," L'appartement est adorable, bien équipée, se situe au centre de Mohammadia, très propre, je recommande",10.0,"A 200m de la Plage, du Haut Standing au coeur du Parc"
116," La propreté, le calme, bien équipé",7.0,"A 200m de la Plage, du Haut Standing au coeur du Parc"
117, I like how clean the apartment was. The design was also beautiful.,10.0,"A 200m de la Plage, du Haut Standing au coeur du Parc"
118, centraal gelegen en alles is dichtbij. contact met de eigenaar is heel goed.,10.0,"A 200m de la Plage, du Haut Standing au coeur du Parc"
119,"· verbinding, geen goeie telefoon bereik",9.0,"A 200m de la Plage, du Haut Standing au coeur du Parc"
120," Très bien localisé et très bon accueil. N'hésitez pas à profiter de leurs services pour réserver un guide officiel, une navette pour l'aéroport et surtout dégustez un couscous local délicieux.",10.0,Riad Lalla Zoubida
121," Très bon emplacement à deux pas de l’entrée de la medina, beau riad classique et élégant, grande chambre, petit déjeuner excellent.
Accueil parfait, chaleureux, décontracté et professionnel à la fois, On est aux petits soins, on se sent le bienvenu. 100% recommendable.",9.6,Riad Lalla Zoubida
122," La taille de la chambre
Le lieu en général
Le cocooning de l’endroit
La bonne literie
Le petit déjeuner attentionné
L’accueil
Le service",9.6,Riad Lalla Zoubida
123," Ce Riad beau et lumineux est très bien placé. Tout était parfait, le pdj très bon, les espaces propres et la chambre très agréable. Un grand merci à Wallid pour son aide et son accueil impeccable !",10.0,Riad Lalla Zoubida
124," Accueil super avec beaucoup de gentillesse 
Riad très propre et les petits déjeuners excellents",10.0,Riad Lalla Zoubida
125," Everything! The hosts, the ambience, the location, the food, the rooms, everything was clean, spacious, gorgeously decorated and welcoming.",10.0,Riad Lalla Zoubida
126," The staff were fantastic, kind and incredibly helpful, meeting us in the square to walk with us in the Medina to the hotel and assisting us in getting an early morning transfer to the airport. The location is great, rooms are nice and good value for money.",10.0,Riad Lalla Zoubida
127, Everything was perfect about our stay here. The staff were very polite and made every effort to make our time pleasurable. Main thing which stuck out for us was the small things such as asking us how we liked our eggs in the morning and checking in on how our tour went. Highly recommend this riad!,10.0,Riad Lalla Zoubida
128," Everything. The staff is really kind and helpfully. I strongly recommend this place. Thanks for everything, I loved.",10.0,Riad Lalla Zoubida
129, It was great. friendly staff arranged everything for a great stay. I recommend!!!!,10.0,Riad Lalla Zoubida
130," Personnel super sympa 
Nuit calme aucun bruit
Très bon petit déjeuner 
J'ai demandé du thé à 2h du matin pour le boire sur la terrasse 10 min après j'étais servi !",10.0,Dar Sababa
131," propreté, belle vue , personnel accueillant et serviable, très bon emplacement en ville ==> vivement je recommande en rapport qualité prix.",9.0,Dar Sababa
132," Emplacement magnifique, terrasse avec une vue incroyable. La fraîcheur de la montagne juste au dos de l’hôtel est très appréciable.",9.0,Dar Sababa
133, C était un séjour excellent,10.0,Dar Sababa
134," Emplacement au centre ville, architecture traditionnelle, une petite terrasse avec une vue superbe.",8.0,Dar Sababa
135," Les chambres sont très propres, la vue sur la terrasse est just incroyable, le personnel très souriant, franchement rien à dire, une très belle expérience et j'ai hâte de revenir très bientôt.",10.0,Dar Sababa
136," L'accueil, l,'accueil et l'accueil. Joli hébergement qui reflète l'esprit de la ville blue.",9.0,Dar Sababa
137," Le personnel est au petit soin, la localisation est idéale. Le petit dej est top. Je reprendrai le même hôtel sans hésiter !  
Merci l'équipe Dar Sababa pour l'accueil.",10.0,Dar Sababa
138," Personnel très accueillant, bien placé, super vue. Très bonne adresse",10.0,Dar Sababa
139, Le personnel est très gentil ! L'emplacement de l'hôtel qui est également très facile à retrouver. Le calme et la sérénité. Vue très sympa !,10.0,Dar Sababa
140," L’accueil a été très chaleureux, le personnel est aux petits soins pour que le séjour soit des plus agréable, nous y retournerons sans aucun doute.
Un tout grand merci pour le surclassement.",10.0,Riad Safir
141," Accueil chaleureux, personnel au petit soin. Propreté impeccable",9.0,Riad Safir
142," L’emplacement dans la Médina et l’accueil. Le Riad est bien tenu et sa terrasse est agréable. 
Le petit déjeuner était copieux. 
Merci à Achraf pour sa disponibilité, ses conseils et son sourire.",10.0,Riad Safir
143," Architecture et originalité du bâtiment, qualité du petit déjeuner, discrétion de l'emplacement, disponibilité du responsable de l'hôtel",9.0,Riad Safir
144," La déco traditionnelle là où d'autres Riad sont partis dans la rénovation de luxe moderne, dénaturant la tradition du Riad",9.0,Riad Safir
145," L’emplacement, la décoration , le confort des lits , la terrasse et le petit déjeuner 
mais surtout et avant tout la disponibilité de Achraf notre hôte qui est aux petits soins pour ses résidents !!",10.0,Riad Safir
146," Accueil sympathique et convivial par Ashraf, l’atout de ce Riad. Chambre confortable et au calme. Petit déjeuner copieux et de qualité",10.0,Riad Safir
147, Sa belle terrasse et un très chaleureux accueil 👍,9.6,Riad Safir
148," L'hôte du riad était super gentil. J'ai beaucoup aimé parlé avec lui, il m'a conseillé plein de lieux super sympa.",9.0,Riad Safir
149," Nous avons été très bien accueillis avec beaucoup de gentillesse, un vrais thé à la marocaine, douceur et professionnalisme. Nous avons adoré la beauté du Riad, la décoration très soignée, le rooftop pour le coucher de soleil ou le petit dej! Tout était très propre. bravo et merci encore pour l’accueil. Endroit à découvrir absolument!",10.0,Riad Safir
150, Appartement très jolie et très propre commerces et plage à proximité c’est le top je reviendrai sûrement cette été j’ai beaucoup aimée,10.0,Jolie appartement vue mer
151," L'emplacement, petit appartement très sympa à quelques pas de la plage, de la marine de M'diq.
Le propriétaire est très réactif et résoud les problèmes qui se posent très rapidement afin que le séjour ne soit pas entaché.
Merci",9.0,Jolie appartement vue mer
152," La propreté, la proximité de tout et plage à même pas 2 min, appartement très bien équipée et moderne",10.0,Jolie appartement vue mer
153," Le logement correspond tout a fait a la description et meme mieux. Il est bien equipe et les lits sont comfortables.
Il est egalement tres propre et proche de tout.",10.0,Jolie appartement vue mer
154," Appartement tout équipé et très bien placé.
Propriétaire reactif et sérieux.",8.0,Jolie appartement vue mer
155," la situation géographique top 
2 min au plage",9.0,Jolie appartement vue mer
156," Super appartement tout équipé et surtout idéalement placé.
Nous avons adorés notre séjour. 
Propriétaire sympa et réactif et je recommande vivement !",10.0,Jolie appartement vue mer
157," Rien à dire, tout est parfait",10.0,Jolie appartement vue mer
158," La propreté, la situation géographique et l'amabilité du Mr.",10.0,Jolie appartement vue mer
159,"· Merci au propriétaire de l appartement il sont très sympa
Je vous dis à très bientôt
Merci encore",9.0,Jolie appartement vue mer
160," La chambre est très belle, grande et propre. La literie très confortable. Excellent petit déjeuner.
Tres joli jardin et accès supplémentaire vers un grand jardin. Joli terrasse sur le toit.",10.0,Riad Chay
161," Personnel très agréable et serviable, environnement magnifique et calme, avec la palmeraie au pied du riad, ne pas hésiter à y faire une petite balade jusqu'à la passerelle qui traverse l'oued.
Chambres propres et spacieuses. 
Petit déjeuner copieux.",9.0,Riad Chay
162, Très belle chambre avec grande baie vitrée et balcon donnant sur la palmeraie et beau mobilier. Très belle et grande terrasse bien décorée avec de nombreux sièges pour se poser. Excellent petit-déjeuner en terrasse.,10.0,Riad Chay
163," La chambre supérieure offre une vue magnifique sur la palmeraie! Le cadre est très sympa, le personnel aux petits soins.",9.0,Riad Chay
164," Déjà, le Riad est magnifique. Ensuite, le personnel était aux petits soins avec nous. Ils ont été très arrangeant avec nous et nous les en remercions vivement. Enfin, la chambre que nous avions était parfaite. Et le lit Kong size est fabuleux.",10.0,Riad Chay
165," Incroyable roof top!
Petit déjeuner délicieux!",8.0,Riad Chay
166," calme et bien entretenu , très cosy à l’intérieur du Riad",8.0,Riad Chay
167," Le Riad a beaucoup de charme et fidèle aux photos (même mieux).
Le personnel est très à l'écoute, surtout Omar qui est très serviable, il connaît très bien la ville, la région et son histoire.",10.0,Riad Chay
168," Sublime déco dans le Riad. 
Chambre spacieuse, propre, calme et avec une vue exceptionnelle.
Personnel adorable et d'une extreme gentillesse.
Bon petit déjeuner.
Nous recommandons ce lieux.",10.0,Riad Chay
169," Très calme, déco agréable, repas tres correct mais sans plus, et un accueil et un service tout à fait charmant. Si l’emplacement est un peu plus éloigné que nous ne l’avions imaginé, il est très bien fléché et au bon endroit ce qui est suffisamment rare pour être apprécié. Merci Omar pour ta gentillesse, ton professionnalisme, et tes attentions. 
Gestes barrières et consignes sanitaires parfaitement respectés.",9.0,Riad Chay
170," Magnifique Riad, très bien localisé ; un personnel entièrement dévoué et d'une gentillesse exceptionnelle ; propreté impeccable. Ce Riad constitue un véritable havre de paix dans les ruelles mouvementées de Marrakech. J'y ai passé un séjour génial et le conseille vivement.",10.0,Riad Gallery 49
171," Le riad est dans un quartier calme pourtant à quelques minutes à pied du centre, propreté impeccable, chambre charmante, petit déjeuner varié et excellent, je vous conseille le hammam et les soins proposés. 
Merci à Ghizlane et son équipe Khadija, Fatima et Zara pour ce superbe séjour.",9.0,Riad Gallery 49
172," TOUT! Marrakech rime avec riad. Tout était au delà de nos espérances. L'accueil chaleureux des filles , toujours disponible et aux petits soins. L hospitalité marocaine est tellement bien représenté ! 
Le riad est joliment décoré, la chambre nous emporte dans une autre époque. Le Ménage est effectué chaque jour avec soin ( pétales de roses...) le petit dejeuner est copieux et local et change tous les jours.on peut également y déjeuner ou dîner et ils proposent aussi le hammam et massage. Nous nous sommes régalées. Il se situe à 15 mins à pied de la place jemaa el fna. 
Merci a ghizlaine, Fatima, fatima zohra et a khadija d avoir contribuer à ce que notre séjour soit inoubliable.... 
Assya, Nadia Jihene et Yheb !",10.0,Riad Gallery 49
173," Tres joli riad dans la médina (5 minutes à pied de bab Doukkala et 20 de la place jemma en passant par le souk, bien agréable ballade), un peu dur à trouver la première fois, avec un beau patio et une superbe terrasse. Tout est propre, notre chambre était très cosy (un vrai cocon), clairement idéale pour un jeune couple avec sa douche (et ses toilettes) séparée de la chambre par un voile ;) le petit déjeuner était très bon et le personnel (même si tous ne comprennent pas le français) est très souriant et disponible et toujours prêt à vous rendre service. Merci à Mohamed et à ses 2 collègues féminines. Avons testé leur hammam berbère, 2h à se faire bichonner. Bref je recommande !",10.0,Riad Gallery 49
174, Riad à la déco soignée avec un personnel aux petits soins. Petit déjeuner délicieux.,10.0,Riad Gallery 49
175, Riad agréable personnel au petit soins suite familiale parfaitement décorée petit déjeuner magnifique,8.3,Riad Gallery 49
176, Très bon petit dejeuner,8.0,Riad Gallery 49
177," La gentillesse, Mohamed et son équipe sont au petit soin. Merci",9.6,Riad Gallery 49
178," La décoration, les canapés sur la terrasse, la gentillesse du personnel et l'accueil. Le dîner au coin du feu était magique ! La tranquillité et le calme du quartier.",9.0,Riad Gallery 49
179, Les petites attentions de la part du personnel,10.0,Riad Gallery 49
180, Un très bon séjour! Petit-déjeuner parfait ! Accueil et service de tout les jours parfait !,10.0,Riad Oumaima
181," L’accueil par les gens qui travail sur place est un vrai plus leur gentillesse est vraiment un plus pour le Riad.
Le lit pas très confort était un lit double jumeau et pas un grand lit simple , de plus la tête de lit visible sur les photos avais disparu... manque de transparence et d’honnêteté de la part de la direction...
Le Riad est très bien placé mais très difficile a trouver pour les non initiés à la ville.
Le petit déjeuner est vraiment bon, merci ZINEB.",7.9,Riad Oumaima
182," Très joli riad de dimension humaine (6 chambres) à l'ambiance chaleureuse et paisible, la décoration typique, authentique avec des matériaux de qualité; l'aménagement fait de plusieurs petits coins détente, qui offre à chacun une intimité; Jolie terrasse ensoleillée sans vis-à-vis, calme. Toute l'équipe est très aimable, disponible et discrète à la fois (un grand merci à Zined, Laarbi pour leur gentillesse et leurs conseils, de belles rencontres). Enfin, proximité, situation idéale pour accéder à l'ensemble de la Médina.",9.0,Riad Oumaima
183, Personnels très gentils - bon emplacement -,7.0,Riad Oumaima
184, Nourriture et lit,8.0,Riad Oumaima
185, Le personnel de cet établissement est d’une gentillesse exemplaire. Beaucoup devraient s’en inspirer. Très agréable séjour. A conseiller vivement.,9.0,Riad Oumaima
186, Le petit déjeuner était correct et copieux,7.5,Riad Oumaima
187, Merci à Zineb pour ses précieux conseils,9.0,Riad Oumaima
188," Le decor,l'endroit, le calme.",8.3,Riad Oumaima
189, Le riad en lui-même et la gentillesse du personnel,8.8,Riad Oumaima
190," Tout était parfait, les chambres sont propres et joliment décorées, le petit déjeuner était copieux.",10.0,Dar Ness
191," Super nuit au coeur de la medina d'Essaouira avec un personnel très souriant, accueillant et attentif !
Le Riad est propre et très bien situé pour profiter de la ville. Le petit déjeuné est delicieux ! Merci encore pour le séjour.
Réservez sans hésiter.",10.0,Dar Ness
192, L'accueil et la gentillesse de fatiha et mourad,8.0,Dar Ness
193," Beau riad, bien placé, personnel très sympathique.",9.0,Dar Ness
194, Localisation du lieu.,8.0,Dar Ness
195, Une mention particulière pour le personnel très attentif. La cuisine était divine ! On se sent à la maison !,8.0,Dar Ness
196," Très jolie petit riad, très confortable et très bien placé !",9.0,Dar Ness
197," L'accueil du personnel est excellent, merci à Fatiha qui est très souriante et très gentille.
Le riad est très beau, propre et idéalement situé. 
Mon séjour à été parfait. Merci Dar Ness et à très bientôt.",9.0,Dar Ness
198," L'accueil exceptionnel, l'emplacement les terrasses...",10.0,Dar Ness
199," l’accueil, le Riad et l’emplacement",9.0,Dar Ness
200, Un accueil parfait des gens formidables un moment privilégié dans un Riad magnifique le petit plus le jacuzzi après une journée de marche très agréable,10.0,Riad Rêves D'orient
